series_id,series_name,hit,imdb
255233,شغل جدید بلیپی,69,5.7
254223,توئین پیکس,83,8.7
258365,بازماندگان,82,6.6
256695,ابر مکعب,91,7.1
255969,پناهگاه امن,0,6.4
256783,میز سرآشپز: سرآشپزهای افسانه ای,91,7.4
255715,دختر ربوده شده,80,6.4
255118,دشمن عزیز من,90,8
256394,دیوید بلین: امتحانش نکن,85,7.8
257273,پری های دریایی تک شاخ,80,8.2
258107,چوب گلف,86,7.1
253343,قاره آمریکا,96,8.3
255069,شیطان هم می گرید,95,7.6
256055,طلوع ماه,80,6.7
255304,قلب های مدفون,91,7.6
256001,سرقت الماس,0,7
257047,ربات قاتل,86,7.4
256974,داستر,78,7.3
254923,نبض,82,6.4
254616,وقتی زندگی بهت نارنگی میده,96,9.1
256193,آستریکس و اوبلیکس: مبارزه بزرگ,95,8
256016,گنبد شیشه ای,80,6.7
254704,وقتی هیچ کس ما را نمی بیند,0,6.1
255120,باغبان,82,6.1
251191,شکوفه شانگهای,0,8.1
257246,سرزمین شنی,87,7.6
253200,شجاع ترین شوالیه,56,6.1
255256,کوتلاس,86,8.8
255013,کارما,88,7.5
254908,این شهر مال ماست,84,8
254696,حیوانات، کاملا شبیه ما هستند,86,7.3
251378,روزگار ساکاموتو,94,7.4
257156,رابل و دوستان,84,4.6
254850,آجر خرسی,64,7.6
254993,وثیقه دار,64,7
256050,اسرار پنگوئن ها,0,7.6
252031,گروه شکار,89,6.6
252458,خل و چل های عشق هیولا,92,7.7
256317,دورا جستجوگر,74,4.4
255254,چهره خندان,82,6.5
251112,چاله,94,8.9
253851,کاموی طلایی: شکار زندانیان در هوکایدو,0,6.9
254612,خانواده خوب آمریکایی,89,6.5
254167,رویاپردازان,0,7.8
252660,سلول ۲۱۱,71,6
220547,ژن وی,88,7.7
256235,آینه سیاه,82,8.7
251434,سن پیر,0,6.9
253507,عوارض جانبی شایع,80,8.6
254197,زوکی از سیاره روبی,82,8
253697,آنتونی پوروسکی: هیچی مزه خونه رو نمیده,82,7.5
246136,خانواده انتخابی,97,8.2
253787,ویردی,65,6.5
255698,ملکه تاج گذار,86,7.8
255655,ماجراجویی های دیلن در وقت بازی,67,8.1
28471,ماجراجویی در پاریس,90,7.5
104493,جادو رو اضافه کن: شهر اسرارآمیز,93,7.3
197619,پونی کوچولوی من: خودی نشان بده,91,6.0
86441,ریک و مورتی,94,9
16944,آبشار جاذبه,95,8.9
255517,قتل های اوره,90,6.7
255218,چاقوی بی قرار,79,7.5
251859,سقوط کرده,73,6.6
250137,موسیقی متن فیلم افسونگر شرور: سردسته اهریمنان,0,6.6
252190,سیاره عجیب,0,None
253304,پلیس خوب پلیس بد,76,6.8
255374,مسیری باریک به ژرفای شمال,67,7.2
250013,موسیقی متن سریال بازی مرکب,75,8
239355,آریل,73,4
255325,کاساندرا,75,6.7
248765,چراغ فروشی,92,7.8
251682,هدف اصلی,0,6.5
254971,دوستان و همسایه‌ های شما,92,7.7
254288,از ناباوری تا ایمان: لیورپول دوران کلوپ,88,8.6
254765,اقامتگاه,89,7.8
254779,سالیوان دریانورد,72,None
254824,توله های پشمالو,0,4.6
254746,زندگی پنهان حیوانات,90,8.4
254264,رئال مادرید: چگونه عاشقت نباشم,93,8.1
250134,موسیقی متن فیلم افسونگر شرور,0,6.9
250100,موسیقی متن فیلم چلنجرز,0,7
251100,قلب های سیاه,92,7.7
236981,والدین نسبتا عجیب: آرزوی تازه ,78,6.9
252794,دایناسورهای پر سر و صدا,72,7.6
251077,دختر جنگجوی شکست ناپذیر,84,7.4
243511,پسر پر دردسر,83,7.3
245139,دراگون بال شرور,92,7.9
250307,بابا لنگ دراز,92,8.1
243863,در همسایگی عشق,95,7.7
254482,سرزمین اوباش,96,8.1
238248,پرندگان خشمگین: جزیره رازآلود,83,8
251579,مرد عنکبوتی: دوست خوب محله,90,7.4
254143,گروه مطالعه,95,8.3
253407,کنج کنج کنجکاوی,80,6.3
247855,استودیو,82,7
248029,آقای پلانکتون,91,8.2
252379,خانم آستین,92,7.4
247363,آنچه بعد از عشق می آید,84,7.9
248822,پنج بچه و شنی,0,6.9
250310,مرد عنکبوتی نهایی,89,7.2
251814,کد تروما: قهرمانان در آماده‌ باش,96,8.4
254356,نه جسد در سردخانه مکزیکی,86,6.4
254348,نوجوانی,80,8.1
242099,جومونگ,81,8.1
243991,قاضی جهنمی,95,7.8
253956,دزد مواد,77,7.6
253758,الکلاسیکو,90,None
253945,رودخانه بلند درخشان,82,7
254083,شهر کوچک، داستان بزرگ,0,6.1
253967,اهریمن در خانواده: سقوط روبی فرانک,80,7.4
252104,بلیط یک‌‌ طرفه,82,None
251250,شمالی ترین نقطه,82,8
250828,زندگی,92,9.1
250708,بی باک: تولد دوباره,85,8.3
253616,برژراک,73,6.2
242173,مرده و دفن شده,65,5.9
253442,شهر مسموم,0,7.7
252529,نجات یافتن از سقوط شاهین سیاه,80,7.5
249534,منظومه شمسی,90,8.9
235966,خانه واقعا پر سر و صدا,92,5.4
253031,کت و شلواری ها: لس آنجلس,86,5.7
207353,لگو دریمز,85,8.4
249583,اقامت در هانیانگ,90,7.7
252836,هزار ضربه,85,8.1
252886, آنجا,0,7
252870,نقشه خانوادگی,87,8.1
249689,روز صفر,93,7
250728,کارنیوال,0,8.4
251522,زیردریایی روی صخره ها,0,7
252485,نیوتوپیا,88,7
251479,رنگارنگ,68,None
251594,هوای تازه,80,None
251608,استیج,86,None
250463,دیو و ماه پیشونی ۲,94,None
251675,سگ‌ های نگهبان (نسخه زبان اصلی),70,6.1
250966,دیو و ماه پیشونی ۱,95,None
251270,موسولینی: فرزند قرن,88,8.3
251397,خرگوش چشم سیاه,90,None
242259,شریک خوب,86,7.6
